"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 03월 06일","604.05","598.98","604.29","597.66","707.69K","0.55%"
"2017년 03월 03일","600.73","607.59","607.59","597.43","902.04K","-1.35%"
"2017년 03월 02일","608.93","614.58","614.59","608.61","705.55K","-0.53%"
"2017년 02월 28일","612.20","613.67","614.36","611.13","675.83K","0.01%"
"2017년 02월 27일","612.12","615.77","615.83","612.12","617.49K","-0.43%"
"2017년 02월 24일","614.75","619.35","620.04","614.71","967.38K","-0.47%"
"2017년 02월 23일","617.67","622.41","622.96","617.67","811.18K","-0.60%"
"2017년 02월 22일","621.39","623.88","624.13","621.39","964.76K","-0.17%"
"2017년 02월 21일","622.47","621.49","622.84","620.98","1.17M","0.40%"
"2017년 02월 20일","619.97","620.18","620.46","618.98","918.04K","0.21%"
"2017년 02월 17일","618.70","615.72","619.40","615.52","1.12M","0.34%"
"2017년 02월 16일","616.58","617.86","617.96","613.94","962.59K","0.10%"
"2017년 02월 15일","615.95","612.70","616.17","612.16","895.64K","0.72%"
"2017년 02월 14일","611.54","613.23","613.35","609.52","836.26K","-0.07%"
"2017년 02월 13일","611.94","611.59","611.94","609.36","867.00K","0.22%"
"2017년 02월 10일","610.58","612.38","613.53","609.84","1.11M","-0.08%"
"2017년 02월 09일","611.04","610.11","611.22","607.37","1.05M","0.37%"
"2017년 02월 08일","608.79","609.72","609.84","604.75","722.44K","0.01%"
"2017년 02월 07일","608.72","611.65","612.62","606.59","683.06K","-0.37%"
"2017년 02월 06일","610.96","610.79","611.44","607.77","654.54K","0.29%"
"2017년 02월 03일","609.21","614.37","614.83","606.72","1.22M","-0.62%"
"2017년 02월 02일","613.04","623.46","623.46","613.02","1.27M","-1.71%"
"2017년 02월 01일","623.68","617.30","623.68","617.26","938.21K","1.23%"
"2017년 01월 31일","616.13","616.77","618.32","615.06","727.04K","-0.11%"
"2017년 01월 26일","616.81","611.43","616.81","610.05","639.75K","1.18%"
"2017년 01월 25일","609.64","615.37","616.72","609.25","773.89K","-0.54%"
"2017년 01월 24일","612.93","616.36","616.95","612.89","682.29K","-0.50%"
"2017년 01월 23일","615.99","623.28","623.65","615.99","697.95K","-0.99%"
"2017년 01월 20일","622.12","626.50","626.86","622.12","721.93K","-0.65%"
"2017년 01월 19일","626.19","629.63","630.26","626.19","711.78K","-0.11%"
"2017년 01월 18일","626.89","624.87","626.89","621.70","673.24K","0.46%"
"2017년 01월 17일","624.00","628.30","630.16","623.49","752.49K","-0.62%"
"2017년 01월 16일","627.88","636.77","636.80","627.28","649.97K","-1.07%"
"2017년 01월 13일","634.68","633.88","637.47","631.67","754.60K","0.29%"
"2017년 01월 12일","632.87","639.04","639.13","632.21","824.13K","-0.79%"
