"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 12월 13일","17.144","15.640","15.995","15.620","0.19K","1.19%"
"2017년 12월 12일","16.942","15.665","15.700","15.555","0.20K","-0.71%"
"2017년 12월 11일","17.063","15.775","15.800","15.625","0.08K","7.55%"
"2017년 12월 10일","15.865","15.850","15.880","15.850","-","-7.23%"
"2017년 12월 08일","17.102","15.675","15.765","15.655","0.08K","0.14%"
"2017년 12월 07일","17.078","15.880","15.885","15.600","0.17K","-0.88%"
"2017년 12월 06일","17.229","16.040","16.050","15.870","0.21K","-0.67%"
"2017년 12월 05일","17.345","16.250","16.280","15.980","0.08K","-1.74%"
"2017년 12월 04일","17.652","16.310","16.340","16.190","0.89K","7.57%"
"2017년 12월 03일","16.410","16.350","16.435","16.340","-","-7.13%"
"2017년 12월 01일","17.670","16.385","16.485","16.200","0.52K","-0.53%"
"2017년 11월 30일","17.764","16.480","16.520","16.285","1.59K","-0.42%"
"2017년 11월 29일","17.839","16.810","16.865","16.450","22.56K","-1.91%"
"2017년 11월 28일","18.187","17.020","17.025","17.020","0.00K","-1.11%"
"2017년 11월 27일","18.391","17.020","17.020","17.020","0.00K","8.13%"
"2017년 11월 26일","17.009","17.025","17.025","16.998","-","-7.39%"
"2017년 11월 24일","18.366","16.990","16.990","16.990","0.00K","7.43%"
"2017년 11월 23일","17.096","17.096","17.157","17.067","-","-7.52%"
"2017년 11월 22일","18.486","17.101","17.101","17.101","-","0.99%"
"2017년 11월 21일","18.305","16.930","16.930","16.930","0.00K","0.73%"
"2017년 11월 20일","18.172","16.827","16.827","16.827","-","5.25%"
"2017년 11월 19일","17.266","17.289","17.302","17.249","-","-7.68%"
"2017년 11월 17일","18.702","17.125","17.305","17.125","0.00K","1.67%"
"2017년 11월 16일","18.395","16.950","16.970","16.950","0.01K","0.61%"
"2017년 11월 15일","18.283","16.940","16.940","16.940","0.00K","-0.57%"
"2017년 11월 14일","18.387","16.905","16.905","16.905","0.00K","0.20%"
"2017년 11월 13일","18.351","16.840","17.010","16.840","0.00K","8.57%"
"2017년 11월 12일","16.902","16.872","16.911","16.864","-","-6.96%"
"2017년 11월 10일","18.167","17.000","17.000","17.000","0.00K","-0.65%"
"2017년 11월 09일","18.286","16.930","16.930","16.930","0.00K","-0.91%"
"2017년 11월 08일","18.454","17.106","17.106","17.106","0.01K","1.10%"
"2017년 11월 07일","18.254","16.925","16.925","16.925","0.00K","-1.53%"
"2017년 11월 06일","18.537","17.205","17.225","17.205","0.01K","9.94%"
"2017년 11월 05일","16.861","16.851","16.869","16.816","-","-7.03%"
"2017년 11월 03일","18.136","17.105","17.105","16.790","0.01K","-1.63%"
"2017년 11월 02일","18.436","17.065","17.065","17.060","0.02K","-0.15%"
"2017년 11월 01일","18.463","16.990","17.060","16.990","0.03K","2.62%"
"2017년 10월 31일","17.991","16.795","16.795","16.650","0.30K","-0.83%"
"2017년 10월 30일","18.142","16.715","16.845","16.715","0.12K","7.74%"
"2017년 10월 29일","16.838","16.861","16.861","16.817","-","-6.74%"
"2017년 10월 27일","18.055","16.702","16.702","16.702","0.00K","-0.34%"
"2017년 10월 26일","18.117","16.764","16.764","16.764","0.06K","-0.60%"
"2017년 10월 25일","18.227","16.868","16.868","16.868","0.03K","-0.22%"
"2017년 10월 24일","18.267","16.890","16.945","16.890","0.06K","-0.60%"
"2017년 10월 23일","18.377","16.920","16.920","16.870","0.02K","8.13%"
"2017년 10월 22일","16.996","17.044","17.044","16.979","-","-7.52%"
"2017년 10월 20일","18.378","17.170","17.170","16.990","0.02K","-0.97%"
"2017년 10월 19일","18.558","16.990","17.220","16.990","0.01K","1.41%"
"2017년 10월 18일","18.300","16.943","16.943","16.943","0.01K","-0.25%"
"2017년 10월 17일","18.345","17.000","17.010","17.000","0.06K","-1.77%"
"2017년 10월 16일","18.675","17.420","17.430","17.280","0.03K","7.04%"
"2017년 10월 15일","17.447","17.421","17.449","17.403","-","-6.73%"
"2017년 10월 13일","18.706","17.215","17.380","17.215","0.07K","0.77%"
"2017년 10월 12일","18.563","17.205","17.220","17.205","0.04K","0.72%"
"2017년 10월 11일","18.430","17.145","17.200","17.065","0.05K","-0.40%"
"2017년 10월 10일","18.504","17.890","18.170","17.890","0.01K","1.31%"
"2017년 10월 09일","18.264","16.865","16.930","16.865","0.00K","8.49%"
"2017년 10월 08일","16.835","16.817","16.862","16.812","-","-6.91%"
"2017년 10월 06일","18.084","16.590","16.710","16.430","0.02K","0.87%"
"2017년 10월 05일","17.928","16.650","16.710","16.620","0.02K","0.13%"
"2017년 10월 04일","17.905","16.645","16.820","16.515","0.05K","-0.12%"
"2017년 10월 03일","17.927","16.530","16.585","16.530","0.04K","-0.05%"
"2017년 10월 02일","17.936","16.595","16.635","16.525","0.02K","7.76%"
"2017년 10월 01일","16.644","16.660","16.670","16.621","-","-7.32%"
"2017년 09월 29일","17.959","16.810","16.810","16.715","0.02K","-0.81%"
"2017년 09월 28일","18.106","16.750","16.830","16.655","0.18K","0.11%"
"2017년 09월 27일","18.086","16.700","16.815","16.695","0.04K","-0.29%"
"2017년 09월 26일","18.138","16.875","16.890","16.775","0.11K","-1.45%"
"2017년 09월 25일","18.405","16.850","17.090","16.810","0.17K","8.54%"
"2017년 09월 24일","16.957","17.033","17.033","16.931","-","-7.04%"
"2017년 09월 22일","18.241","16.985","16.985","16.905","0.09K","-0.20%"
"2017년 09월 21일","18.278","16.895","16.920","16.800","0.21K","-1.73%"
"2017년 09월 20일","18.600","17.255","17.340","17.010","0.09K","0.22%"
"2017년 09월 19일","18.560","17.135","17.240","17.115","0.16K","0.68%"
"2017년 09월 18일","18.434","17.490","17.520","17.030","0.21K","4.73%"
"2017년 09월 17일","17.602","17.663","17.663","17.590","-","-7.30%"
"2017년 09월 15일","18.988","17.760","17.800","17.550","0.24K","-0.47%"
"2017년 09월 14일","19.077","17.650","17.760","17.580","0.28K","-0.28%"
"2017년 09월 13일","19.130","17.860","17.910","17.635","0.43K","-0.05%"
"2017년 09월 12일","19.140","17.780","17.870","17.705","0.36K","-0.01%"
"2017년 09월 11일","19.141","17.890","17.890","17.695","0.40K","6.75%"
"2017년 09월 10일","17.930","17.859","17.953","17.828","-","-7.36%"
"2017년 09월 08일","19.354","18.090","18.160","17.915","0.36K","0.07%"
"2017년 09월 07일","19.341","17.840","18.105","17.795","0.81K","0.46%"
"2017년 09월 06일","19.253","17.915","17.970","17.800","0.31K","-0.18%"
"2017년 09월 05일","19.287","17.780","17.980","17.775","0.95K","7.66%"
"2017년 09월 04일","17.914","17.929","18.025","17.865","-","-0.11%"
"2017년 09월 03일","17.934","17.895","17.957","17.873","-","-6.40%"
"2017년 09월 01일","19.160","17.565","17.720","17.445","0.54K","1.27%"
"2017년 08월 31일","18.919","17.420","17.600","17.255","1.47K","0.33%"
"2017년 08월 30일","18.856","17.390","17.460","17.285","21.20K","-0.05%"
